"s","l","n"
"http://dbpedia.org/resource/Fresenius_Medical_Care","http://dbpedia.org/resource/Germany",120659
"http://dbpedia.org/resource/Alliance_Boots","http://dbpedia.org/resource/United_Kingdom",120000
"http://dbpedia.org/resource/Consolidated_Contractors_Company","http://dbpedia.org/resource/Greece",120000
"http://dbpedia.org/resource/Aditya_Birla_Group","http://dbpedia.org/resource/India",120000
"http://dbpedia.org/resource/Jerónimo_Martins","http://dbpedia.org/resource/Portugal",115428
"http://dbpedia.org/resource/Correios","http://dbpedia.org/resource/Brasília",115000
"http://dbpedia.org/resource/Valeo","http://dbpedia.org/resource/France",114700
"http://dbpedia.org/resource/Tenet_Healthcare","http://dbpedia.org/resource/United_States",113000
"http://dbpedia.org/resource/Atos","http://dbpedia.org/resource/France",110000
"http://dbpedia.org/resource/SK_Group","http://dbpedia.org/resource/South_Korea",107983
"http://dbpedia.org/resource/Nidec","http://dbpedia.org/resource/Japan",107062
"http://dbpedia.org/resource/Abbott_Laboratories","http://dbpedia.org/resource/United_States",107000
"http://dbpedia.org/resource/Vietnam_Electricity","http://dbpedia.org/resource/Vietnam",106011
"http://dbpedia.org/resource/Nippon_Steel","http://dbpedia.org/resource/Japan",105796
"http://dbpedia.org/resource/Danone","http://dbpedia.org/resource/United_States",105783
"http://dbpedia.org/resource/Danone","http://dbpedia.org/resource/Netherlands",105783
"http://dbpedia.org/resource/Wesfarmers","http://dbpedia.org/resource/Australia",105000
"http://dbpedia.org/resource/Johnson_Controls","http://dbpedia.org/resource/Ireland",105000
"http://dbpedia.org/resource/Wesfarmers","http://dbpedia.org/resource/Western_Australia",105000
"http://dbpedia.org/resource/Sanyo","http://dbpedia.org/resource/Japan",104882
"http://dbpedia.org/resource/Sanofi","http://dbpedia.org/resource/France",104226
"http://dbpedia.org/resource/Total_SE","http://dbpedia.org/resource/France",104000
"http://dbpedia.org/resource/Compañía_General_de_Tabacos_de_Filipinas","http://dbpedia.org/resource/Philippines",104000
"http://dbpedia.org/resource/Bayer","http://dbpedia.org/resource/Germany",103824
"http://dbpedia.org/resource/Aluminum_Corporation_of_China_Limited","http://dbpedia.org/resource/China",103493
"http://dbpedia.org/resource/Itochu","http://dbpedia.org/resource/Japan",102762
"http://dbpedia.org/resource/Hyatt","http://dbpedia.org/resource/United_States",100000
"http://dbpedia.org/resource/Kenya_Red_Cross_Society","http://dbpedia.org/resource/Kenya",100000
"http://dbpedia.org/resource/China_National_Nuclear_Corporation","http://dbpedia.org/resource/China",100000
"http://dbpedia.org/resource/En+_Group","http://dbpedia.org/resource/Jersey",100000
"http://dbpedia.org/resource/Aisin_Seiki","http://dbpedia.org/resource/Kariya,_Aichi",100000
"http://dbpedia.org/resource/En+_Group","http://dbpedia.org/resource/Russia",100000
"http://dbpedia.org/resource/Aisin_Seiki","http://dbpedia.org/resource/Japan",100000
"http://dbpedia.org/resource/Volkswagen_Group_China","http://dbpedia.org/resource/People's_Republic_of_China",100000
"http://dbpedia.org/resource/Intesa_Sanpaolo","http://dbpedia.org/resource/Italy",96892
"http://dbpedia.org/resource/Itaú_Unibanco","http://dbpedia.org/resource/Brazil",96435
"http://dbpedia.org/resource/Ferrovial","http://dbpedia.org/resource/Madrid,_Spain",95978
"http://dbpedia.org/resource/Veolia_Water","http://dbpedia.org/resource/France",95789
"http://dbpedia.org/resource/Central_Group","http://dbpedia.org/resource/Thailand",94150
"http://dbpedia.org/resource/China_Netcom","http://dbpedia.org/resource/China",92788
"http://dbpedia.org/resource/Fomento_de_Construcciones_y_Contratas","http://dbpedia.org/resource/Spain",92290
"http://dbpedia.org/resource/Walmart_Canada","http://dbpedia.org/resource/Canada",91000
"http://dbpedia.org/resource/Canara_Bank","http://dbpedia.org/resource/India",90002
"http://dbpedia.org/resource/Volga_Group","http://dbpedia.org/resource/Luxembourg",90000
"http://dbpedia.org/resource/Universal_Health_Services","http://dbpedia.org/resource/United_States",90000
"http://dbpedia.org/resource/Wilmar_International","http://dbpedia.org/resource/Singapore",90000
"http://dbpedia.org/resource/SGS_S.A.","http://dbpedia.org/resource/Switzerland",89000
"http://dbpedia.org/resource/Suez_(company)","http://dbpedia.org/resource/France",88775
"http://dbpedia.org/resource/Siemens_Energy_AG","http://dbpedia.org/resource/Germany",88000
"http://dbpedia.org/resource/Bank_of_Communications","http://dbpedia.org/resource/People's_Republic_of_China",87828
"http://dbpedia.org/resource/Caixa_Econômica_Federal","http://dbpedia.org/resource/Brazil",87500
"http://dbpedia.org/resource/National_Iranian_Oil_Company","http://dbpedia.org/resource/Iran",87500
"http://dbpedia.org/resource/AutoZone","http://dbpedia.org/resource/United_States",87000
"http://dbpedia.org/resource/Decathlon_(retailer)","http://dbpedia.org/resource/France",87000
"http://dbpedia.org/resource/Leoni_AG","http://dbpedia.org/resource/Germany",86340
"http://dbpedia.org/resource/HSBC_Bank_(Europe)","http://dbpedia.org/resource/United_Kingdom",85000
"http://dbpedia.org/resource/Royal_Bank_of_Canada","http://dbpedia.org/resource/Canada",85000
